Date,Open,High,Low,Close,Volume
1965-01-31,274.47,278.82,274.47,274.99
1965-02-28,269.26,269.26,258.46,258.46
1965-03-31,259.22,278.58,259.22,278.58
1965-04-30,279.65,279.65,272.22,272.22
1965-05-31,270.39,273.94,268.35,268.35
1965-06-30,261.84,261.84,257.79,258.56
1965-07-31,255.66,255.66,246.1,250.17
1965-08-31,261.88,261.88,259.1,259.46
1965-09-30,261.02,261.02,255.7,258.69
1965-10-31,255.27,255.51,249.52,252.26
1965-11-30,257.79,257.79,249.36,249.36
1965-12-31,255.9,259.42,252.66,259.42
1966-01-31,268.37,285.81,268.37,285.81
1966-02-28,280.66,282.4,280.22,280.22
1966-03-31,275.3,275.3,271.42,271.58
1966-04-30,268.75,272.43,264.85,264.85
1966-05-31,259.28,259.28,255.5,258.89
1966-06-30,257.65,257.65,249.84,257.14
1966-07-31,257.64,257.64,250.59,252.4
1966-08-31,252.38,255.56,252.38,254.46
1966-09-30,247.06,247.06,236.83,236.83
1966-10-31,233.31,233.31,224.92,232.19
1966-11-30,232.11,242.69,230.61,242.69
1966-12-31,240.1,240.1,231.1,231.13
1967-01-31,222.33,222.35,220.77,220.77
1967-02-28,223.48,227.61,223.48,227.61
1967-03-31,227.33,227.33,217.7,217.7
1967-04-30,221.71,221.71,209.64,209.64
1967-05-31,215.52,216.26,214.12,216.26
1967-06-30,213.52,214.97,210.01,210.79
1967-07-31,209.61,209.61,203.8,203.8
1967-08-31,197.17,217.81,197.17,217.81
1967-09-30,225.85,245.39,223.72,241.89
1967-10-31,243.36,243.36,239.28,239.28
1967-11-30,233.01,235.08,233.01,233.91
1967-12-31,228.8,228.8,226.31,226.71
1968-01-31,222.78,239.27,222.78,239.27
1968-02-29,237.23,237.23,234.27,235.98
1968-03-31,234.75,251.58,234.75,249.2
1968-04-30,250.99,258.79,250.99,258.79
1968-05-31,260.61,264.87,243.34,243.34
1968-06-30,240.35,245.64,237.26,237.26
1968-07-31,226.83,232.89,223.66,228.13
1968-08-31,233,237,233,236.91
1968-09-30,241.43,241.43,238.32,240.26
1968-10-31,238.41,239.68,236.62,236.62
1968-11-30,233.45,237.2,227.9,237.2
1968-12-31,234.69,245.25,233.68,245.25
1969-01-31,245.4,263.71,245.29,263.71
1969-02-28,263.19,283.54,261.34,276.71
1969-03-31,276.26,309.49,274.57,309.49
1969-04-30,300.76,308.17,284.49,308.17
1969-05-31,315.83,315.83,303.6,313.68
1969-06-30,317.8,317.8,282.98,282.98
1969-07-31,285.06,290.97,275.17,278.5
1969-08-31,284.09,306.56,284.09,291.72
1969-09-30,290.11,293.53,285.32,291.3
1969-10-31,294.59,307.68,294.59,307.68
1969-11-30,308.96,308.96,296.28,299.46
1969-12-31,299.09,310.45,297.55,308.66
1970-01-31,311.12,325.33,311.12,321.79
1970-02-28,319.05,324.52,311.44,311.44
1970-03-31,311.8,311.8,303.63,308.08
1970-04-30,306.59,308.78,291.33,292.92
1970-05-31,291.45,291.95,272.94,285.13
1970-06-30,287.14,287.52,275.52,275.59
1970-07-31,274.48,290,270.03,289.96
1970-08-31,290.42,293.62,285.01,289.49
1970-09-30,287.1,289.87,280.45,282.01
1970-10-31,287.82,289.93,282.44,285
1970-11-30,281.28,288,281.24,282.63
1970-12-31,283.02,286.11,280.19,285.31
1971-01-31,287.2,300.23,286.28,298.45
1971-02-28,298.66,298.66,296.97,297.04
1971-03-31,295.02,295.94,289.16,291.19
1971-04-30,292.11,297.71,292.11,292.31
1971-05-31,292.8,301.62,290.17,300.87
1971-06-30,302.63,302.63,296.71,296.77
1971-07-31,297.56,302.51,293.73,301.53
1971-08-31,302.69,302.69,285.23,285.98
1971-09-30,287.64,288.66,268.91,268.91
1971-10-31,268.84,269.33,251.6,251.6
1971-11-30,246.3,265.88,241.14,263.91
1971-12-31,261.18,267.21,259.11,264.12
1972-01-31,257.45,275.31,257.45,273.4
1972-02-29,272.39,283.89,269.49,283.89
1972-03-31,286.07,303.69,283.9,303.69
1972-04-30,308.97,320.99,305.73,314.82
1972-05-31,315.08,333.25,312.24,332.69
1972-06-30,330.15,336.76,309.38,311.9
1972-07-31,311.63,331.21,311.63,331.21
1972-08-31,329.6,345,327.74,338.19
1972-09-30,341.16,341.36,335.93,338.04
1972-10-31,340.78,346.32,335.17,335.35
1972-11-30,335.03,343.37,314.09,317.35
1972-12-31,315.45,319.65,302.02,309.45
1973-01-31,311.94,331.45,311.94,324.89
1973-02-28,321.26,330.78,312.87,329.87
1973-03-31,329.29,350.63,329.29,349.71
1973-04-30,349.79,370.16,349.79,370.16
1973-05-31,375.84,379,362.7,365.14
1973-06-30,363.27,363.44,353.9,353.9
1973-07-31,355.5,355.5,333.16,338.41
1973-08-31,342.67,342.67,324.97,329.86
1973-09-30,331.49,335.65,323.21,331.32
1973-10-31,329.33,342.73,329.33,337.18
1973-11-30,337.84,338.81,302.66,303.28
1973-12-31,298.2,303.53,277.58,300.74
1974-01-31,298.23,325.32,292.47,319.22
1974-02-28,318.22,318.22,307.64,311.07
1974-03-31,311.84,316.52,290.06,290.62
1974-04-30,284.32,284.32,284.32,284.32
1974-05-31,278.76,285.64,271.16,271.16
1974-06-30,272.29,273.86,246.13,246.13
1974-07-31,246.82,253.22,230.94,249.79
1974-08-31,247.16,247.16,226.69,226.69
1974-09-30,230.51,230.51,189.27,190.85
1974-10-31,190.62,207.63,190.62,199.43
1974-11-30,199.5,205.99,195.29,204.14
1974-12-31,204.39,208.92,197.72,207.24
1975-01-31,208.53,246.96,208.53,246.96
1975-02-28,246.76,248.69,237.46,241.37
1975-03-31,240.01,258.78,240.01,257.08
1975-04-30,258.77,280.71,258.06,270.85
1975-05-31,274.75,274.92,253.04,258.15
1975-06-30,262.86,266.32,246.32,246.32
1975-07-31,248.58,264.34,248.58,262.02
1975-08-31,264.29,265.44,259.08,265.44
1975-09-30,265.1,266.4,253.15,253.15
1975-10-31,253.05,263,253.05,260.08
1975-11-30,259.04,274.02,259.04,274.02
1975-12-31,274.07,274.07,268.01,272.91
1976-01-31,272.78,279.45,272.64,275.39
1976-02-29,276.03,285.61,274.69,285.61
1976-03-31,285.42,289.36,274.95,276.7
1976-04-30,277.37,277.37,260.08,264.84
1976-05-31,263.23,264.43,257.03,264.43
1976-06-30,264.83,267.43,257.12,259.65
1976-07-31,258.59,258.59,243.94,246.9
1976-08-31,247.86,248.93,240.94,246.36
1976-09-30,246.22,246.22,230.39,230.89
